exception_id,reporting_month,customer_id,exception_type,severity,description,suggested_action
EXC00001,2025-01,CUST0049,Duplicate invoice ID,Critical,Invoice INV000001 appears more than once in the raw extract.,Investigate source-system duplicate before publishing the monthly report.
EXC00002,2025-01,CUST0049,Duplicate invoice ID,Critical,Invoice INV000001 appears more than once in the raw extract.,Investigate source-system duplicate before publishing the monthly report.
EXC00003,2025-11,CUST9999,Missing customer data,Critical,Invoice references a customer ID that is not available in the customer master data.,Confirm customer master completeness or request corrected source extract.
EXC00004,2025-10,CUST0001,Negative amount,Critical,Invoice amount is negative and cannot be included in standard revenue reporting.,Review whether the record should be treated as a credit note or source-data correction.
EXC00005,2025-07,CUST0025,Negative amount,High,Payment amount is negative and excluded from collection reporting.,"Check whether this is a reversal, adjustment, or incorrect payment extract."
EXC00006,2025-01,CUST0053,Invoice without payment,Medium,Invoice INV000002 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00007,2025-01,CUST0022,Invoice without payment,Medium,Invoice INV000003 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00008,2025-01,CUST0014,Invoice without payment,Medium,Invoice INV000005 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00009,2025-01,CUST0028,Invoice without payment,Medium,Invoice INV000006 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00010,2025-01,CUST0041,Invoice without payment,Medium,Invoice INV000008 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00011,2025-01,CUST0059,Invoice without payment,Medium,Invoice INV000009 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00012,2025-01,CUST0035,Invoice without payment,Medium,Invoice INV000016 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00013,2025-01,CUST0029,Invoice without payment,Medium,Invoice INV000019 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00014,2025-01,CUST0061,Invoice without payment,Medium,Invoice INV000020 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00015,2025-01,CUST0037,Invoice without payment,Medium,Invoice INV000025 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00016,2025-01,CUST0056,Invoice without payment,Medium,Invoice INV000033 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00017,2025-01,CUST0074,Invoice without payment,Medium,Invoice INV000037 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00018,2025-01,CUST0057,Invoice without payment,Medium,Invoice INV000044 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
EXC00019,2025-01,CUST0050,Invoice without payment,Medium,Invoice INV000047 has no matching payment record.,Review collection status and confirm whether payment is expected in a later period.
